passengerid,sex,age,pclass,fare,parch,sibsp,embarked,survived
866,female,42.0,2,13.0,0,0,S,1
726,male,20.0,3,8.6625,0,0,S,0
159,male,29.69911764705882,3,8.6625,0,0,S,0
587,male,47.0,2,15.0,0,0,S,0
848,male,35.0,3,7.8958,0,0,C,0
622,male,42.0,1,52.5542,0,1,S,1
21,male,35.0,2,26.0,0,0,S,0
762,male,41.0,3,7.125,0,0,S,0
294,female,24.0,3,8.85,0,0,S,0
53,female,49.0,1,76.7292,0,1,C,1
442,male,20.0,3,9.5,0,0,S,0
870,male,4.0,3,11.1333,1,1,S,1
451,male,36.0,2,27.75,2,1,S,0
640,male,29.69911764705882,3,16.1,0,1,S,0
299,male,29.69911764705882,1,30.5,0,0,S,1
438,female,24.0,2,18.75,3,2,S,1
348,female,29.69911764705882,3,16.1,0,1,S,1
500,male,24.0,3,7.7958,0,0,S,0
181,female,29.69911764705882,3,69.55,2,8,S,0
780,female,43.0,1,211.3375,1,0,S,1
852,male,74.0,3,7.775,0,0,S,0
839,male,32.0,3,56.4958,0,0,S,1
366,male,30.0,3,7.25,0,0,S,0
352,male,29.69911764705882,1,35.0,0,0,S,0
825,male,2.0,3,39.6875,1,4,S,0
12,female,58.0,1,26.55,0,0,S,1
497,female,54.0,1,78.2667,0,1,C,1
690,female,15.0,1,211.3375,1,0,S,1
285,male,29.69911764705882,1,26.0,0,0,S,0
212,female,35.0,2,21.0,0,0,S,1
861,male,41.0,3,14.1083,0,2,S,0
109,male,38.0,3,7.8958,0,0,S,0
519,female,36.0,2,26.0,0,1,S,1
389,male,29.69911764705882,3,7.7292,0,0,Q,0
67,female,29.0,2,10.5,0,0,S,1
370,female,24.0,1,69.3,0,0,C,1
884,male,28.0,2,10.5,0,0,S,0
730,female,25.0,3,7.925,0,1,S,0
168,female,45.0,3,27.9,4,1,S,0
447,female,13.0,2,19.5,1,0,S,1
398,male,46.0,2,26.0,0,0,S,0
799,male,30.0,3,7.2292,0,0,C,0
505,female,16.0,1,86.5,0,0,S,1
271,male,29.69911764705882,1,31.0,0,0,S,0
659,male,23.0,2,13.0,0,0,S,0
663,male,47.0,1,25.5875,0,0,S,0
596,male,36.0,3,24.15,1,1,S,0
406,male,34.0,2,21.0,0,1,S,0
677,male,24.5,3,8.05,0,0,S,0
226,male,22.0,3,9.35,0,0,S,0
582,female,39.0,1,110.8833,1,1,C,1
875,female,28.0,2,24.0,0,1,C,1
843,female,30.0,1,31.0,0,0,C,1
1,male,22.0,3,7.25,0,1,S,0
794,male,29.69911764705882,1,30.6958,0,0,C,0
433,female,42.0,2,26.0,0,1,S,1
537,male,45.0,1,26.55,0,0,S,0
613,female,29.69911764705882,3,15.5,0,1,Q,1
276,female,63.0,1,77.9583,0,1,S,1
802,female,31.0,2,26.25,1,1,S,1
307,female,29.69911764705882,1,110.8833,0,0,C,1
785,male,25.0,3,7.05,0,0,S,0
136,male,23.0,2,15.0458,0,0,C,0
325,male,29.69911764705882,3,69.55,2,8,S,0
85,female,17.0,2,10.5,0,0,S,1
163,male,26.0,3,7.775,0,0,S,0
343,male,28.0,2,13.0,0,0,S,0
735,male,23.0,2,13.0,0,0,S,0
76,male,25.0,3,7.65,0,0,S,0
357,female,22.0,1,55.0,1,0,S,1
99,female,34.0,2,23.0,1,0,S,1
384,female,35.0,1,52.0,0,1,S,1
686,male,25.0,2,41.5792,2,1,C,0
654,female,29.69911764705882,3,7.8292,0,0,Q,1
230,female,29.69911764705882,3,25.4667,1,3,S,0
889,female,29.69911764705882,3,23.45,2,1,S,0
280,female,35.0,3,20.25,1,1,S,1
767,male,29.69911764705882,1,39.6,0,0,C,0
145,male,18.0,2,11.5,0,0,S,0
555,female,22.0,3,7.775,0,0,S,1
483,male,50.0,3,8.05,0,0,S,0
62,female,38.0,1,80.0,0,0,S,1
820,male,10.0,3,27.9,2,3,S,0
465,male,29.69911764705882,3,8.05,0,0,S,0
262,male,3.0,3,31.3875,2,4,S,1
186,male,29.69911764705882,1,50.0,0,0,S,0
834,male,23.0,3,7.8542,0,0,S,0
857,female,45.0,1,164.8667,1,1,S,1
131,male,33.0,3,7.8958,0,0,C,0
523,male,29.69911764705882,3,7.225,0,0,C,0
460,male,29.69911764705882,3,7.75,0,0,Q,0
456,male,29.0,3,7.8958,0,0,C,1
140,male,24.0,1,79.2,0,0,C,0
717,female,38.0,1,227.525,0,0,C,1
753,male,33.0,3,9.5,0,0,S,0
410,female,29.69911764705882,3,25.4667,1,3,S,0
528,male,29.69911764705882,1,221.7792,0,0,S,0
721,female,6.0,2,33.0,1,0,S,1
172,male,4.0,3,29.125,1,4,Q,0
49,male,29.69911764705882,3,21.6792,0,2,C,0
627,male,57.0,2,12.35,0,0,Q,0
17,male,2.0,3,29.125,1,4,Q,0
177,male,29.69911764705882,3,25.4667,1,3,S,0
30,male,29.69911764705882,3,7.8958,0,0,S,0
302,male,29.69911764705882,3,23.25,0,2,Q,1
604,male,44.0,3,8.05,0,0,S,0
564,male,29.69911764705882,3,8.05,0,0,S,0
361,male,40.0,3,27.9,4,1,S,0
235,male,24.0,2,10.5,0,0,S,0
122,male,29.69911764705882,3,8.05,0,0,S,0
636,female,28.0,2,13.0,0,0,S,1
474,female,23.0,2,13.7917,0,0,C,1
776,male,18.0,3,7.75,0,0,S,0
479,male,22.0,3,7.5208,0,0,S,0
541,female,36.0,1,71.0,2,0,S,1
672,male,31.0,1,52.0,0,1,S,0
375,female,3.0,3,21.075,1,3,S,0
631,male,80.0,1,30.0,0,0,S,1
415,male,44.0,3,7.925,0,0,S,1
6,male,29.69911764705882,3,8.4583,0,0,Q,0
118,male,29.0,2,21.0,0,1,S,0
334,male,16.0,3,18.0,0,2,S,0
744,male,24.0,3,16.1,0,1,S,0
94,male,26.0,3,20.575,2,1,S,0
681,female,29.69911764705882,3,8.1375,0,0,Q,0
221,male,16.0,3,8.05,0,0,S,1
546,male,64.0,1,26.0,0,0,S,0
35,male,28.0,1,82.1708,0,1,C,0
127,male,29.69911764705882,3,7.75,0,0,Q,0
339,male,45.0,3,8.05,0,0,S,1
703,female,18.0,3,14.4542,1,0,C,0
104,male,33.0,3,8.6542,0,0,S,0
203,male,34.0,3,6.4958,0,0,S,0
811,male,26.0,3,7.8875,0,0,S,0
26,female,38.0,3,31.3875,5,1,S,1
113,male,22.0,3,8.05,0,0,S,0
71,male,32.0,2,10.5,0,0,S,0
591,male,35.0,3,7.125,0,0,S,0
208,male,26.0,3,18.7875,0,0,C,1
393,male,28.0,3,7.925,0,2,S,0
429,male,29.69911764705882,3,7.75,0,0,Q,0
190,male,36.0,3,7.8958,0,0,S,0
695,male,60.0,1,26.55,0,0,S,0
217,female,27.0,3,7.925,0,0,S,1
401,male,39.0,3,7.925,0,0,S,1
58,male,28.5,3,7.2292,0,0,C,0
712,male,29.69911764705882,1,26.55,0,0,S,0
578,female,39.0,1,55.9,0,1,S,1
771,male,24.0,3,9.5,0,0,S,0
532,male,29.69911764705882,3,7.2292,0,0,C,0
492,male,21.0,3,7.25,0,0,S,0
195,female,44.0,1,27.7208,0,0,C,1
816,male,29.69911764705882,1,0.0,0,0,S,0
424,female,28.0,3,14.4,1,1,S,0
80,female,30.0,3,12.475,0,0,S,1
569,male,29.69911764705882,3,7.2292,0,0,C,0
267,male,16.0,3,39.6875,1,4,S,0
514,female,54.0,1,59.4,0,1,C,1
708,male,42.0,1,26.2875,0,0,S,1
550,male,8.0,2,36.75,1,1,S,1
609,female,22.0,2,41.5792,2,1,C,1
320,female,40.0,1,134.5,1,1,C,1
258,female,30.0,1,86.5,0,0,S,1
488,male,58.0,1,29.7,0,0,C,0
244,male,22.0,3,7.125,0,0,S,0
618,female,26.0,3,16.1,0,1,S,0
645,female,0.75,3,19.2583,1,2,C,1
668,male,29.69911764705882,3,7.775,0,0,S,0
253,male,62.0,1,26.55,0,0,S,0
311,female,24.0,1,83.1583,0,0,C,1
154,male,40.5,3,14.5,2,0,S,0
749,male,19.0,1,53.1,0,1,S,0
758,male,18.0,2,11.5,0,0,S,0
249,male,37.0,1,52.5542,1,1,S,1
316,female,26.0,3,7.8542,0,0,S,1
807,male,39.0,1,0.0,0,0,S,0
44,female,3.0,2,41.5792,2,1,C,1
573,male,36.0,1,26.3875,0,0,S,1
740,male,29.69911764705882,3,7.8958,0,0,S,0
425,male,18.0,3,20.2125,1,1,S,0
862,male,21.0,2,11.5,0,1,S,0
781,female,13.0,3,7.2292,0,0,C,1
484,female,63.0,3,9.5875,0,0,S,1
114,female,20.0,3,9.825,0,1,S,0
565,female,29.69911764705882,3,8.05,0,0,S,0
349,male,3.0,3,15.9,1,1,S,1
40,female,14.0,3,11.2417,0,1,C,1
709,female,22.0,1,151.55,0,0,S,1
31,male,40.0,1,27.7208,0,0,C,0
290,female,22.0,3,7.75,0,0,Q,1
344,male,25.0,2,13.0,0,0,S,0
623,male,20.0,3,15.7417,1,1,C,1
830,female,62.0,1,80.0,0,0,S,1
510,male,26.0,3,56.4958,0,0,S,1
466,male,38.0,3,7.05,0,0,S,0
817,female,23.0,3,7.925,0,0,S,0
592,female,52.0,1,78.2667,0,1,C,1
385,male,29.69911764705882,3,7.8958,0,0,S,0
547,female,19.0,2,26.0,0,1,S,1
227,male,19.0,2,10.5,0,0,S,1
551,male,17.0,1,110.8833,2,0,C,1
240,male,33.0,2,12.275,0,0,S,0
128,male,24.0,3,7.1417,0,0,S,1
326,female,36.0,1,135.6333,0,0,C,1
72,female,16.0,3,46.9,2,5,S,0
871,male,26.0,3,7.8958,0,0,S,0
81,male,22.0,3,9.0,0,0,S,0
687,male,14.0,3,39.6875,1,4,S,0
187,female,29.69911764705882,3,15.5,0,1,Q,1
358,female,38.0,2,13.0,0,0,S,0
245,male,30.0,3,7.225,0,0,C,0
772,male,48.0,3,7.8542,0,0,S,0
196,female,58.0,1,146.5208,0,0,C,1
362,male,29.0,2,27.7208,0,1,C,0
303,male,19.0,3,0.0,0,0,S,0
119,male,24.0,1,247.5208,1,0,C,0
614,male,29.69911764705882,3,7.75,0,0,Q,0
182,male,29.69911764705882,2,15.05,0,0,C,0
506,male,18.0,1,108.9,0,1,C,0
538,female,30.0,1,106.425,0,0,C,1
560,female,36.0,3,17.4,0,1,S,1
529,male,39.0,3,7.925,0,0,S,0
821,female,52.0,1,93.5,1,1,S,1
448,male,34.0,1,26.55,0,0,S,1
533,male,17.0,3,7.2292,1,1,C,0
600,male,49.0,1,56.9292,0,1,C,1
673,male,70.0,2,10.5,0,0,S,0
380,male,19.0,3,7.775,0,0,S,0
867,female,27.0,2,13.8583,0,1,C,1
146,male,19.0,2,36.75,1,1,S,0
619,female,4.0,2,39.0,1,2,S,1
515,male,24.0,3,7.4958,0,0,S,0
132,male,20.0,3,7.05,0,0,S,0
137,female,19.0,1,26.2833,2,0,S,1
759,male,34.0,3,8.05,0,0,S,0
768,female,30.5,3,7.75,0,0,Q,0
22,male,34.0,2,13.0,0,0,S,1
222,male,27.0,2,13.0,0,0,S,0
475,female,22.0,3,9.8375,0,0,S,0
722,male,17.0,3,7.0542,0,1,S,0
420,female,10.0,3,24.15,2,0,S,0
77,male,29.69911764705882,3,7.8958,0,0,S,0
646,male,48.0,1,76.7292,0,1,C,1
254,male,30.0,3,16.1,0,1,S,0
858,male,51.0,1,26.55,0,0,S,1
263,male,52.0,1,79.65,1,1,S,0
63,male,45.0,1,83.475,0,1,S,0
835,male,18.0,3,8.3,0,0,S,0
45,female,19.0,3,7.8792,0,0,Q,1
605,male,35.0,1,26.55,0,0,C,1
718,female,27.0,2,10.5,0,0,S,1
713,male,48.0,1,52.0,0,1,S,1
736,male,28.5,3,16.1,0,0,S,0
90,male,24.0,3,8.05,0,0,S,0
754,male,23.0,3,7.8958,0,0,S,0
18,male,29.69911764705882,2,13.0,0,0,S,1
678,female,18.0,3,9.8417,0,0,S,1
876,female,15.0,3,7.225,0,0,C,1
54,female,29.0,2,26.0,0,1,S,1
411,male,29.69911764705882,3,7.8958,0,0,S,0
727,female,30.0,2,21.0,0,3,S,1
376,female,29.69911764705882,1,82.1708,0,1,C,1
682,male,27.0,1,76.7292,0,0,C,1
2,female,38.0,1,71.2833,0,1,C,1
579,female,29.69911764705882,3,14.4583,0,1,C,0
191,female,32.0,2,13.0,0,0,S,1
597,female,29.69911764705882,2,33.0,0,0,S,1
105,male,37.0,3,7.925,0,2,S,0
286,male,33.0,3,8.6625,0,0,C,0
204,male,45.5,3,7.225,0,0,C,0
885,male,25.0,3,7.05,0,0,S,0
542,female,9.0,3,31.275,2,4,S,0
731,female,29.0,1,211.3375,0,0,S,1
696,male,52.0,2,13.5,0,0,S,0
173,female,1.0,3,11.1333,1,1,S,1
27,male,29.69911764705882,3,7.225,0,0,C,0
849,male,28.0,2,33.0,1,0,S,0
812,male,39.0,3,24.15,0,0,S,0
213,male,22.0,3,7.25,0,0,S,0
655,female,18.0,3,6.75,0,0,Q,0
407,male,51.0,3,7.75,0,0,S,0
308,female,17.0,1,108.9,0,1,C,1
524,female,44.0,1,57.9792,1,0,C,1
218,male,42.0,2,27.0,0,1,S,0
13,male,20.0,3,8.05,0,0,S,0
669,male,43.0,3,8.05,0,0,S,0
853,female,9.0,3,15.2458,1,1,C,0
574,female,29.69911764705882,3,7.75,0,0,Q,1
295,male,24.0,3,7.8958,0,0,S,0
268,male,25.0,3,7.775,0,1,S,1
169,male,29.69911764705882,1,25.925,0,0,S,0
489,male,30.0,3,8.05,0,0,S,0
434,male,17.0,3,7.125,0,0,S,0
150,male,42.0,2,13.0,0,0,S,0
330,female,16.0,1,57.9792,1,0,C,1
498,male,29.69911764705882,3,15.1,0,0,S,0
277,female,45.0,3,7.75,0,0,S,0
691,male,31.0,1,57.0,0,1,S,1
704,male,25.0,3,7.7417,0,0,Q,0
371,male,25.0,1,55.4417,0,1,C,1
68,male,19.0,3,8.1583,0,0,S,0
178,female,50.0,1,28.7125,0,0,C,0
259,female,35.0,1,512.3292,0,0,C,1
209,female,16.0,3,7.75,0,0,Q,1
155,male,29.69911764705882,3,7.3125,0,0,S,0
236,female,29.69911764705882,3,7.55,0,0,S,0
803,male,11.0,1,120.0,2,1,S,1
402,male,26.0,3,8.05,0,0,S,0
452,male,29.69911764705882,3,19.9667,0,1,S,0
777,male,29.69911764705882,3,7.75,0,0,Q,0
632,male,51.0,3,7.0542,0,0,S,0
786,male,25.0,3,7.25,0,0,S,0
650,female,23.0,3,7.55,0,0,S,1
7,male,54.0,1,51.8625,0,0,S,0
272,male,25.0,3,0.0,0,0,S,1
123,male,32.5,2,30.0708,0,1,C,0
583,male,54.0,2,26.0,0,0,S,0
808,female,18.0,3,7.775,0,0,S,0
501,male,17.0,3,8.6625,0,0,S,0
745,male,31.0,3,7.925,0,0,S,1
394,female,23.0,1,113.275,0,1,C,1
353,male,15.0,3,7.2292,1,1,C,0
826,male,29.69911764705882,3,6.95,0,0,Q,0
416,female,29.69911764705882,3,8.05,0,0,S,0
141,female,29.69911764705882,3,15.2458,2,0,C,0
439,male,64.0,1,263.0,4,1,S,0
443,male,25.0,3,7.775,0,1,S,0
457,male,65.0,1,26.55,0,0,S,0
100,male,34.0,2,26.0,0,1,S,0
556,male,62.0,1,26.55,0,0,S,0
36,male,42.0,1,52.0,0,1,S,0
880,female,56.0,1,83.1583,1,0,C,1
312,female,18.0,1,262.375,2,2,C,1
281,male,65.0,3,7.75,0,0,Q,0
321,male,22.0,3,7.25,0,0,S,0
588,male,60.0,1,79.2,1,1,C,1
335,female,29.69911764705882,1,133.65,0,1,S,1
844,male,34.5,3,6.4375,0,0,C,0
367,female,60.0,1,75.25,0,1,C,1
461,male,48.0,1,26.55,0,0,S,1
493,male,55.0,1,30.5,0,0,S,0
641,male,20.0,3,7.8542,0,0,S,0
317,female,24.0,2,26.0,0,1,S,1
664,male,36.0,3,7.4958,0,0,S,0
637,male,32.0,3,7.925,0,0,S,0
95,male,59.0,3,7.25,0,0,S,0
399,male,23.0,2,10.5,0,0,S,0
763,male,20.0,3,7.2292,0,0,C,1
795,male,25.0,3,7.8958,0,0,S,0
470,female,0.75,3,19.2583,1,2,C,1
59,female,5.0,2,27.75,2,1,S,1
231,female,35.0,1,83.475,0,1,S,1
628,female,21.0,1,77.9583,0,0,S,1
790,male,46.0,1,79.2,0,0,C,0
86,female,33.0,3,15.85,0,3,S,1
164,male,17.0,3,8.6625,0,0,S,0
890,male,26.0,1,30.0,0,0,C,1
174,male,21.0,3,7.925,0,0,S,0
368,female,29.69911764705882,3,7.2292,0,0,C,1
746,male,70.0,1,71.0,1,1,S,0
845,male,17.0,3,8.6625,0,0,S,0
610,female,40.0,1,153.4625,0,0,S,1
697,male,44.0,3,8.05,0,0,S,0
291,female,26.0,1,78.85,0,0,S,1
192,male,19.0,2,13.0,0,0,S,0
228,male,20.5,3,7.25,0,0,S,0
719,male,29.69911764705882,3,15.5,0,0,Q,0
778,female,5.0,3,12.475,0,0,S,1
548,male,29.69911764705882,2,13.8625,0,0,C,1
485,male,25.0,1,91.0792,0,1,C,1
219,female,32.0,1,76.2917,0,0,C,1
458,female,29.69911764705882,1,51.8625,0,1,S,1
282,male,28.0,3,7.8542,0,0,S,0
241,female,29.69911764705882,3,14.4542,0,1,C,0
557,female,48.0,1,39.6,0,1,C,1
377,female,22.0,3,7.25,0,0,S,1
539,male,29.69911764705882,3,14.5,0,0,S,0
223,male,51.0,3,8.05,0,0,S,0
232,male,29.0,3,7.775,0,0,S,0
714,male,29.0,3,9.4833,0,0,S,0
179,male,30.0,2,13.0,0,0,S,0
827,male,29.69911764705882,3,56.4958,0,0,S,0
633,male,32.0,1,30.5,0,0,C,1
250,male,54.0,2,26.0,0,1,S,0
255,female,41.0,3,20.2125,2,0,S,0
476,male,29.69911764705882,1,52.0,0,0,S,0
854,female,16.0,1,39.4,1,0,S,1
246,male,44.0,1,90.0,0,2,Q,0
877,male,20.0,3,9.8458,0,0,S,0
78,male,29.69911764705882,3,8.05,0,0,S,0
32,female,29.69911764705882,1,146.5208,0,1,C,1
430,male,32.0,3,8.05,0,0,S,1
381,female,42.0,1,227.525,0,0,C,1
340,male,45.0,1,35.5,0,0,S,0
69,female,17.0,3,7.925,2,4,S,1
273,female,41.0,2,19.5,1,0,S,1
336,male,29.69911764705882,3,7.8958,0,0,S,0
115,female,17.0,3,14.4583,0,0,C,0
813,male,35.0,2,10.5,0,0,S,0
151,male,51.0,2,12.525,0,0,S,0
101,female,28.0,3,7.8958,0,0,S,0
327,male,61.0,3,6.2375,0,0,S,0
863,female,48.0,1,25.9292,0,0,S,1
386,male,18.0,2,73.5,0,0,S,0
269,female,58.0,1,153.4625,1,0,S,1
502,female,21.0,3,7.75,0,0,Q,0
46,male,29.69911764705882,3,8.05,0,0,S,0
647,male,19.0,3,7.8958,0,0,S,0
165,male,1.0,3,39.6875,1,4,S,0
14,male,39.0,3,31.275,5,1,S,0
87,male,16.0,3,34.375,3,1,S,0
363,female,45.0,3,14.4542,1,0,C,0
8,male,2.0,3,21.075,1,3,S,0
525,male,29.69911764705882,3,7.2292,0,0,C,0
304,female,29.69911764705882,2,12.35,0,0,Q,1
96,male,29.69911764705882,3,8.05,0,0,S,0
449,female,5.0,3,19.2583,1,2,C,1
859,female,24.0,3,19.2583,3,0,C,1
372,male,18.0,3,6.4958,0,1,S,0
403,female,21.0,3,9.825,0,1,S,0
516,male,47.0,1,34.0208,0,0,S,0
764,female,36.0,1,120.0,2,1,S,1
773,female,57.0,2,10.5,0,0,S,0
421,male,29.69911764705882,3,7.8958,0,0,C,0
822,male,27.0,3,8.6625,0,0,S,1
615,male,35.0,3,8.05,0,0,S,0
417,female,34.0,2,32.5,1,1,S,1
408,male,3.0,2,18.75,1,1,S,1
55,male,65.0,1,61.9792,1,0,C,0
28,male,19.0,1,263.0,2,3,S,0
147,male,27.0,3,7.7958,0,0,S,1
769,male,29.69911764705882,3,24.15,0,1,Q,0
534,female,29.69911764705882,3,22.3583,2,0,C,1
278,male,29.69911764705882,2,0.0,0,0,S,0
575,male,16.0,3,8.05,0,0,S,0
755,female,48.0,2,65.0,2,1,S,1
700,male,42.0,3,7.65,0,0,S,0
705,male,26.0,3,7.8542,0,1,S,0
129,female,29.69911764705882,3,22.3583,1,1,C,1
782,female,17.0,1,57.0,0,1,S,1
840,male,29.69911764705882,1,29.7,0,0,C,1
480,female,2.0,3,12.2875,1,0,S,1
205,male,18.0,3,8.05,0,0,S,1
499,female,25.0,1,151.55,2,1,S,0
868,male,31.0,1,50.4958,0,0,S,0
23,female,15.0,3,8.0292,0,0,Q,1
214,male,30.0,2,13.0,0,0,S,0
732,male,11.0,3,18.7875,0,0,C,0
390,female,17.0,2,12.0,0,0,C,1
651,male,29.69911764705882,3,7.8958,0,0,S,0
589,male,22.0,3,8.05,0,0,S,0
412,male,29.69911764705882,3,6.8583,0,0,Q,0
